Time(ms),qx,pt_a003,pt_a009,lc_a016,lc_a017,lc_a018,lc_a019,lc_a020,lc_a021,log_enable_tkbk,log_enable_cmd,sv_a010_tkbk,sv_a010_cmd,sv_a011_tkbk,sv_a011_cmd,sv_a012_tkbk,sv_a012_cmd,sv_a013_tkbk,sv_a013_cmd,sv_a014_tkbk,sv_a014_cmd,sv_a015_tkbk,sv_a015_cmd
7784,0.0,2778.0,2806.0,0.0,528.9505,8388607.0,-6237.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7875,0.0,3194.0,2810.0,0.0,528.75745,8388607.0,-6433.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7945,0.0,2800.0,2803.0,0.0,528.74286,8388607.0,-6423.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8013,0.0,2492.0,2811.0,0.0,528.90497,8388607.0,-6351.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8097,0.0,2768.0,2805.0,0.0,528.7647,8388607.0,-6480.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8198,0.0,2779.0,2810.0,0.0,528.76654,8388607.0,-6220.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8259,0.0,2687.0,2808.0,0.0,529.0306,8388607.0,-6541.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8331,0.0,3225.0,2807.0,0.0,528.68646,8388607.0,-6392.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8427,0.0,2810.0,2802.0,0.0,528.9213,8388607.0,-6404.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8497,0.0,2471.0,2806.0,0.0,528.80664,8388607.0,-6370.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8604,0.0,3105.0,2799.0,0.0,529.1344,8388607.0,-6455.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8693,0.0,2769.0,2802.0,0.0,528.87036,8388607.0,-6425.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8756,0.0,2809.0,2805.0,0.0,528.5535,8388607.0,-6557.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8829,0.0,2356.0,2812.0,0.0,528.63727,8388607.0,-6426.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8904,0.0,2750.0,2805.0,0.0,528.73193,8388607.0,-6424.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8963,0.0,3258.0,2813.0,0.0,528.63544,8388607.0,-6440.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9051,0.0,2837.0,2801.0,0.0,528.73016,8388607.0,-6428.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9126,0.0,2346.0,2814.0,0.0,528.7083,8388607.0,-6481.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9221,0.0,2759.0,2804.0,0.0,528.9742,8388607.0,-6386.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9278,0.0,2947.0,2815.0,0.0,529.01605,8388607.0,-6326.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9371,0.0,2778.0,2810.0,0.0,528.68823,8388607.0,-6352.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9428,0.0,2964.0,2809.0,0.0,528.9195,8388607.0,-6251.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9516,0.0,2840.0,2808.0,0.0,528.64636,8388607.0,-6513.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9574,0.0,2357.0,2809.0,0.0,528.5171,8388607.0,-6480.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9654,0.0,2929.0,2806.0,0.0,529.0743,8388607.0,-6439.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9738,0.0,3093.0,2811.0,0.0,528.2931,8388607.0,-6340.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9828,0.0,2826.0,2807.0,0.0,528.3077,8388607.0,-6405.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9903,0.0,2336.0,2810.0,0.0,528.2585,8388607.0,-6548.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9976,0.0,2823.0,2804.0,0.0,528.3277,8388607.0,-6501.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10034,0.0,2887.0,2809.0,0.0,528.6282,8388607.0,-6338.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10128,0.0,3079.0,2808.0,0.0,528.40967,8388607.0,-6620.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10203,0.0,2408.0,2807.0,0.0,528.5881,8388607.0,-6447.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10289,0.0,3152.0,2800.0,0.0,528.6191,8388607.0,-6256.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10376,0.0,2729.0,2806.0,0.0,528.8394,8388607.0,-6246.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10445,0.0,2851.0,2804.0,0.0,528.4042,8388607.0,-6596.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10532,0.0,2342.0,2809.0,0.0,528.79205,8388607.0,-6590.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10598,0.0,2781.0,2805.0,0.0,529.0033,8388607.0,-6448.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10679,0.0,3084.0,2810.0,0.0,528.47156,8388607.0,-6436.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10768,0.0,2823.0,2802.0,0.0,528.9396,8388607.0,-6438.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10841,0.0,2881.0,2803.0,0.0,528.5808,8388607.0,-6366.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10917,0.0,2771.0,2803.0,0.0,528.3477,8388607.0,-6541.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10985,0.0,2332.0,2808.0,0.0,528.80115,8388607.0,-6486.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11076,0.0,2760.0,2804.0,0.0,528.76654,8388607.0,-6449.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11149,0.0,3139.0,2807.0,0.0,528.5899,8388607.0,-6390.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11248,0.0,2738.0,2809.0,0.0,528.7265,8388607.0,-6451.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11307,0.0,2881.0,2809.0,0.0,528.7702,8388607.0,-6460.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11382,0.0,2825.0,2803.0,0.0,528.53345,8388607.0,-6648.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11462,0.0,2687.0,2808.0,0.0,528.77563,8388607.0,-6379.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11551,0.0,2452.0,2808.0,0.0,528.54987,8388607.0,-6398.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11626,0.0,2780.0,2805.0,0.0,528.44244,8388607.0,-6426.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11697,0.0,2759.0,2801.0,0.0,529.04517,8388607.0,-6414.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11795,0.0,3227.0,2809.0,0.0,528.4679,8388607.0,-6263.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
